Main Name	DrugBank:Identifiers	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
lidocaine	{'cas-number': '137-58-6', 'ChEBI': '6456', 'ChEMBL': 'CHEMBL79', 'drugbank-id': 'DB00281', 'InChIKey': 'NNJVILVZKWQKPM-UHFFFAOYSA-N', 'PubChem Compound': '3676', 'PubChem Substance': '46505060', 'unii': '98PI200987'}	5	0.9957226889	0.9607020048	0.0176692955	0.1275482263	0.0361296044	0.0446308409	{'intravascular', 'dental', 'urethral', 'intraocular', 'parenteral', 'epidural', 'electro-osmosis', 'intralesional', 'intra-amniotic', 'retrobulbar', 'intravenous', 'endotracheal', 'intramuscular', 'laryngeal', 'intraspinal', 'iontophoresis', 'perineural', 'intradermal', 'submucosal', 'auricular (otic)', 'oral', 'intrathecal', 'ophthalmic', 'cutaneous', 'percutaneous', 'buccal', 'transtracheal', 'intra-articular', 'intrasynovial', 'subarachnoid', 'periodontal', 'topical', 'rectal', 'intracaudal', 'oropharyngeal', 'vaginal', 'subcutaneous', 'respiratory (inhalation)', 'intrathoracic', 'not applicable', 'intrabursal', 'soft tissue', 'infiltration', 'transdermal', 'periarticular'}	TRUE	TRUE	TRUE
magnesium sulfate	{'cas-number': '7487-88-9', 'ChEBI': '32599', 'ChEMBL': 'CHEMBL2021423', 'drugbank-id': 'DB00653', 'InChIKey': 'CSNNHWWHGAXBCP-UHFFFAOYSA-L', 'PubChem Compound': '24083', 'PubChem Substance': '46508411', 'unii': 'ML30MJ2U7I'}	5	0.9791615648	0.8163659199	0.069858174	0.3994813604	0.001214494	0.0106488101	{'intrathecal', 'irrigation', 'topical', 'intramuscular', 'cutaneous', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
memantine	{'cas-number': '19982-08-2', 'ChEBI': '64312', 'ChEMBL': 'CHEMBL807', 'drugbank-id': 'DB01043', 'InChIKey': 'BUGYDGFZZOZRHP-UHFFFAOYSA-N', 'PubChem Compound': '4054', 'PubChem Substance': '46506702', 'unii': 'W8O17SJF3T'}	5	0.9931982458	0.9530087669	0.0304799166	0.1627019182	0.0236635317	0.0212529628	{'oral'}	TRUE	TRUE	TRUE
methylprednisolone	{'cas-number': '83-43-2', 'ChEBI': '6888', 'ChEMBL': 'CHEMBL650', 'drugbank-id': 'DB00959', 'InChIKey': 'VHRSUDSXCMQTMA-PJHHCJLFSA-N', 'PubChem Compound': '6741', 'PubChem Substance': '46504885', 'unii': 'X4W7ZR7023'}	5	0.994588829	0.6799579734	0.3370016974	0.1512332937	0.0756590629	0.0228744849	{'intravascular', 'parenteral', 'epidural', 'intralesional', 'intravenous', 'intramuscular', 'perineural', 'oral', 'intrathecal', 'intrameningeal', 'intrabronchial', 'intrasynovial', 'intra-articular', 'intra-arterial', 'topical', 'intracaudal', 'subcutaneous', 'intrabursal', 'soft tissue', 'infiltration', 'periarticular'}	TRUE	TRUE	TRUE
midodrine	{'cas-number': '42794-76-3', 'ChEBI': '6933', 'ChEMBL': 'CHEMBL1201212', 'drugbank-id': 'DB00211', 'InChIKey': 'PTKSEFOSCHHMPD-UHFFFAOYSA-N', 'PubChem Compound': '4195', 'PubChem Substance': '46507373', 'unii': '6YE7PBM15H'}	5	0.9941974572	0.5439380036	0.0276052086	0.0960257179	0.1034046348	0.0290215325	{'oral'}	TRUE	TRUE	TRUE
alfacalcidol	{'cas-number': '41294-56-8', 'ChEBI': '31186', 'ChEMBL': 'CHEMBL1601669', 'drugbank-id': 'DB01436', 'InChIKey': 'OFHCOWSQAMBJIW-AVJTYSNKSA-N', 'PubChem Compound': '5282181', 'PubChem Substance': '46505115', 'unii': 'URQ2517572'}	4	0.9956055258	0.6902847237	0.6589712814	0.0994645783	0.0569378673	0.0874260898	{'intravenous', 'oral'}	TRUE	TRUE	TRUE
amantadine	{'cas-number': '768-94-5', 'ChEBI': '2618', 'ChEMBL': 'CHEMBL660', 'drugbank-id': 'DB00915', 'InChIKey': 'DKNWSYNQZKUICI-UHFFFAOYSA-N', 'PubChem Compound': '2130', 'PubChem Substance': '46507081', 'unii': 'BF4C9Z1J53'}	4	0.9947038662	0.9590178545	0.0316617165	0.1653867416	0.0100970114	0.0048468235	{'topical', 'oral'}	TRUE	TRUE	TRUE
amphetamine	{'cas-number': '300-62-9', 'ChEBI': '132233', 'ChEMBL': 'CHEMBL405', 'drugbank-id': 'DB00182', 'InChIKey': 'KWTSXDURSIMDCE-UHFFFAOYSA-N', 'PubChem Compound': '3007', 'PubChem Substance': '46506414', 'unii': 'CK833KGX7E'}	4	0.9963902622	0.9681729672	0.0182598499	0.0616114152	0.0078649683	0.0027632889	{'oral'}	TRUE	TRUE	TRUE
atropine	{'cas-number': '51-55-8', 'ChEBI': '78734', 'ChEMBL': 'CHEMBL517712', 'drugbank-id': 'DB00572', 'InChIKey': 'RKUNBYITZUJHSG-SPUOUPEWSA-N', 'PubChem Compound': '174174', 'PubChem Substance': '46507540', 'unii': '7C0697DR9I'}	4	0.9944595088	0.7493478984	0.0246297833	0.1218085569	0.0164320563	0.0032931543	{'endotracheal', 'ophthalmic', 'intramuscular', 'parenteral', 'subcutaneous', 'intramedullary', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
baclofen	{'cas-number': '1134-47-0', 'ChEBI': '2972', 'ChEMBL': 'CHEMBL701', 'drugbank-id': 'DB00181', 'InChIKey': 'KPYSYYIEGFHWSV-UHFFFAOYSA-N', 'PubChem Compound': '2284', 'PubChem Substance': '46508181', 'unii': 'H789N3FKE8'}	4	0.9939324926	0.7504265696	0.0084741129	0.2053733422	0.0048091002	0.0058147513	{'topical', 'intrathecal', 'oral'}	TRUE	TRUE	TRUE
