DrugBank:Main Name,Score,Pre-clinician score,DrugBank:FDA Approved,Less than $500,Pediatric Safety,Blood Brain Barrier,P-glycoprotein Inhibition,Human Intestinal Absorption,Drug Induced Liver Injury,Have It,Screened It,Rescue,Eckenrode,Martinez,Souder,Drug Type,Therapeutic Category,Targeted Symptoms,Proteins of Interest,Available on MedChem
Atomoxetine,5,3,TRUE,TRUE,TRUE,94.87553435%,19.11493634%,99.64816818%,12.79725354%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,sNRI,Neurotransmitter modulator,,,FALSE
Calcitriol,5,3,TRUE,TRUE,TRUE,65.4870169%,55.02206376%,99.39736994%,7.8336732%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,hormone,Protein of interest modulator,,RLIM,FALSE
Captopril,5,3,TRUE,TRUE,TRUE,82.58138684%,1.17413753%,98.82524703%,36.62746045%,TRUE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antihypertensive,Symptomatic relief,intellectual disability,,FALSE
Cholecalciferol,5,3,TRUE,TRUE,TRUE,79.82973586%,66.62697205%,99.62239643%,12.40301526%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",vitamin,Protein of interest modulator,,RLIM,FALSE
Desloratadine,5,3,TRUE,TRUE,TRUE,95.28342775%,54.70874601%,99.69895903%,24.90422026%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antihistamine,Protein of interest modulator,,DLG4,FALSE
Dextromethorphan,5,3,TRUE,TRUE,TRUE,98.96614586%,7.70673133%,99.64811651%,5.54307628%,FALSE,FALSE,FALSE,Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",SNRI,"Neurotransmitter modulator, Protein of interest modulator",,RLIM,FALSE
Fexofenadine,5,3,TRUE,TRUE,TRUE,51.52772324%,75.33964371%,98.3020822%,7.33812547%,FALSE,FALSE,FALSE,Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",antihistamine,Symptomatic relief,neuromuscular junction disease,,FALSE
Guanfacine,5,3,TRUE,TRUE,TRUE,83.08571865%,2.68598554%,99.40558823%,34.08409541%,TRUE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,alpha-2a agonist,Protein of interest modulator,,DLG4,FALSE
Levetiracetam,5,3,TRUE,TRUE,TRUE,96.16512049%,0.88545982%,99.36802522%,24.46875315%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.","Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not comfortable prescribing.,antiepileptic,"Neurotransmitter modulator, Protein of interest modulator",,,FALSE
Lidocaine,5,3,TRUE,TRUE,TRUE,96.07020048%,1.76692955%,99.57226889%,12.75482263%,FALSE,FALSE,FALSE,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",Not sure.,"Yes, would feel comfortable prescribing to rare pediatric patient for ZARD.",anesthetic,"Neurotransmitter modulator, Protein of interest modulator",,,FALSE
