Main Name	search term	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
pyridoxine	['increased reactive oxygen species production', 'movement disorder', 'cerebellar ataxia', 'neurodevelopmental disorder', 'hypotonia', 'autism', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport']	6	0.9864176723	0.6089579299	0.0238434105	0.1069265592	0.0082446823	0.005849196	{'cutaneous', 'topical', 'dental', 'transdermal', 'intramuscular', 'oral', 'ophthalmic', 'intravenous'}	1	TRUE	TRUE
triamcinolone	['cdk5 (human)', 'spasticity', 'neurodevelopmental disorder', 'neuroinflammation', 'axonal neuropathy', 'drd1 (human)', 'intellectual disability']	6	0.9874542498	0.5382120628	0.1016503443	0.2060012842	0.0419561321	0.0024840833	{'perineural', 'intramuscular', 'respiratory (inhalation)', 'intrabursal', 'intra-arterial', 'intrasynovial', 'infiltration', 'parenteral', 'buccal', 'epidural', 'subcutaneous', 'topical', 'dental', 'intravascular', 'oral', 'periarticular', 'intravenous', 'intrathecal', 'intradermal', 'intra-articular', 'intracaudal', 'soft tissue', 'intravitreal', 'intralesional', 'ophthalmic', 'nasal'}	1	TRUE	TRUE
atomoxetine	['movement disorder', 'autism', 'generalized dystonia', 'axonal neuropathy', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'intellectual disability']	5	0.9964816818	0.9487553435	0.1911493634	0.1279725354	0.0409701797	0.0293297353	{'oral'}	1	TRUE	TRUE
calcitriol	['lrrk2 (human)', 'cerebellar ataxia', 'spag9 (human)', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	5	0.9939736994	0.654870169	0.5502206376	0.078336732	0.059725113	0.0595574329	{'oral', 'topical', 'intravenous'}	1	TRUE	TRUE
captopril	['movement disorder', 'mapk8 (human)', 'neuroinflammation', 'arf6 (human)', 'intellectual disability']	5	0.9882524703	0.8258138684	0.0117413753	0.3662746045	0.0003191914	0.0017843374	{'oral', 'not applicable'}	1	TRUE	TRUE
cholecalciferol	['increased reactive oxygen species production', 'lrrk2 (human)', 'intellectual disability', 'cdk5 (human)', 'spag9 (human)', 'neurodevelopmental disorder', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'autism', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	5	0.9962239643	0.7982973586	0.6662697205	0.1240301526	0.0948433035	0.0573014773	{'cutaneous', 'oral', 'topical', 'intravenous'}	1	TRUE	TRUE
desloratadine	drd1 (human)	5	0.9969895903	0.9528342775	0.5470874601	0.2490422026	0.1746734069	0.3811795716	{'oral', 'topical'}	1	TRUE	TRUE
dextromethorphan	['increased reactive oxygen species production', 'movement disorder', 'spasticity', 'neurodevelopmental disorder', 'autism', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'axonal neuropathy']	5	0.9964811651	0.9896614586	0.0770673133	0.0554307628	0.0820331045	0.0153374687	{'not applicable', 'nasal', 'oral', 'topical'}	1	TRUE	TRUE
fexofenadine	axonal neuropathy	5	0.983020822	0.5152772324	0.7533964371	0.0733812547	0.0277035909	0.0208268252	{'oral'}	1	TRUE	TRUE
gemfibrozil	mapk8 (human)	5	0.9961581659	0.87370697	0.0268158801	0.3259057196	0.0108865723	0.1500209435	{'oral'}	1	TRUE	TRUE
guaifenesin	['axonal neuropathy', 'autism']	5	0.9949353214	0.850112142	0.021636368	0.0810070848	0.0147171362	0.0066068111	{'rectal', 'topical', 'oral', 'not applicable', 'nasal'}	1	TRUE	TRUE
guanfacine	['movement disorder', 'neurodevelopmental disorder', 'autism', 'axonal neuropathy', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'intellectual disability']	5	0.9940558823	0.8308571865	0.0268598554	0.3408409541	0.1586584168	0.0216983875	{'oral'}	1	TRUE	TRUE
levetiracetam	['movement disorder', 'cerebellar ataxia', 'intellectual disability', 'spasticity', 'spag9 (human)', 'neurodevelopmental disorder', 'mtor (human)', 'ntrk2 (human)', 'neuroinflammation', 'autism', 'inborn disorder of neurotransmitter metabolism and transport', 'generalized dystonia', 'drd1 (human)', 'neurodegenerative disease', 'axonal neuropathy']	5	0.9936802522	0.9616512049	0.0088545982	0.2446875315	0.0016980921	0.0049737579	{'oral', 'not applicable', 'intravenous'}	1	TRUE	TRUE
lidocaine	['lrrk2 (human)', 'movement disorder', 'spasticity', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'muscle stiffness', 'autism', 'generalized dystonia', 'arf6 (human)', 'axonal neuropathy']	5	0.9957226889	0.9607020048	0.0176692955	0.1275482263	0.0361296044	0.0446308409	{'perineural', 'intramuscular', 'respiratory (inhalation)', 'intrabursal', 'submucosal', 'urethral', 'auricular (otic)', 'intrasynovial', 'iontophoresis', 'infiltration', 'parenteral', 'buccal', 'epidural', 'subcutaneous', 'topical', 'dental', 'intravascular', 'transdermal', 'electro-osmosis', 'oral', 'percutaneous', 'periarticular', 'intravenous', 'rectal', 'intrathecal', 'intra-amniotic', 'vaginal', 'subarachnoid', 'intraocular', 'not applicable', 'intradermal', 'endotracheal', 'intrathoracic', 'intra-articular', 'intracaudal', 'transtracheal', 'soft tissue', 'cutaneous', 'periodontal', 'intraspinal', 'intralesional', 'laryngeal', 'oropharyngeal', 'ophthalmic', 'retrobulbar'}	1	TRUE	TRUE
memantine	['increased reactive oxygen species production', 'lrrk2 (human)', 'movement disorder', 'cerebellar ataxia', 'cerebral atrophy', 'intellectual disability', 'spasticity', 'neurodevelopmental disorder', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'autism', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	5	0.9931982458	0.9530087669	0.0304799166	0.1627019182	0.0236635317	0.0212529628	{'oral'}	1	TRUE	TRUE
